Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,47.474998,48.355000,47.415001,48.355000,48.355000,1997596
2013-05-28,48.590000,49.445000,48.590000,48.990002,48.990002,4113290
2013-05-29,48.439999,48.669998,47.779999,48.000000,48.000000,3391374
2013-05-30,47.830002,49.084999,47.750000,48.665001,48.665001,2597056
2013-05-31,48.514999,49.509998,47.959999,49.410000,49.410000,6591663
2013-06-03,48.900002,49.505001,48.125000,49.075001,49.075001,3904145
2013-06-04,49.555000,49.825001,48.235001,48.590000,48.590000,3441465
2013-06-05,48.189999,48.450001,47.615002,47.945000,47.945000,4382971
2013-06-06,47.720001,48.090000,47.215000,47.294998,47.294998,4222145
2013-06-07,47.540001,48.820000,46.680000,48.615002,48.615002,5661466
2013-06-10,48.570000,49.160000,48.400002,48.860001,48.860001,2957245
2013-06-11,48.400002,48.439999,47.605000,48.180000,48.180000,4018974
2013-06-12,47.849998,48.105000,46.849998,47.165001,47.165001,4142489
2013-06-13,46.294998,46.770000,45.610001,46.680000,46.680000,5052772
2013-06-14,47.375000,47.544998,47.029999,47.255001,47.255001,3545886
2013-06-17,47.389999,47.959999,47.305000,47.615002,47.615002,2748043
2013-06-18,47.544998,47.544998,46.820000,47.180000,47.180000,3111912
2013-06-19,47.244999,47.669998,46.535000,46.720001,46.720001,3084094
2013-06-20,45.570000,46.180000,44.240002,44.580002,44.580002,8528736
2013-06-21,44.709999,45.119999,43.160000,43.160000,43.160000,12475116
2013-06-24,43.285000,44.334999,43.224998,43.505001,43.505001,7157502
2013-06-25,44.154999,45.715000,43.845001,45.625000,45.625000,6439759
2013-06-26,45.599998,46.235001,45.439999,45.775002,45.775002,4275564
2013-06-27,45.845001,46.860001,45.535000,46.540001,46.540001,3418163
2013-06-28,46.689999,47.099998,45.840000,46.485001,46.485001,4070750
2013-07-01,46.500000,47.320000,45.965000,46.779999,46.779999,3412578
2013-07-02,47.110001,47.255001,46.330002,46.810001,46.810001,2987747
2013-07-03,47.500000,47.500000,46.090000,46.955002,46.955002,4628241
2013-07-04,47.415001,49.174999,47.270000,49.080002,49.080002,5145314
2013-07-05,49.095001,49.494999,47.520000,47.520000,47.520000,6053624
2013-07-08,48.090000,49.014999,47.799999,48.474998,48.474998,3203853
2013-07-09,48.615002,49.230000,48.525002,48.919998,48.919998,3195612
2013-07-10,48.700001,48.860001,48.040001,48.755001,48.755001,2882415
2013-07-11,49.500000,49.549999,48.985001,49.310001,49.310001,3334085
2013-07-12,49.459999,52.400002,49.459999,52.349998,52.349998,11216872
2013-07-15,51.880001,52.650002,51.180000,51.400002,51.400002,5100212
2013-07-16,51.580002,52.500000,51.279999,52.270000,52.270000,3823805
2013-07-17,52.270000,52.570000,51.619999,52.459999,52.459999,3345145
2013-07-18,52.220001,53.369999,52.160000,53.330002,53.330002,3559513
2013-07-19,53.000000,53.880001,52.779999,53.290001,53.290001,5852244
2013-07-22,53.400002,53.590000,52.730000,52.840000,52.840000,2606551
2013-07-23,53.000000,53.400002,52.639999,52.660000,52.660000,2284937
2013-07-24,53.000000,53.470001,51.570000,53.419998,53.419998,5291831
