Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,29.879200,30.296301,29.879200,30.240900,30.240900,2688465
2013-05-28,30.543100,31.070900,30.475000,30.815500,30.815500,6132680
2013-05-29,30.777201,30.815500,30.164301,30.326099,30.326099,6628010
2013-05-30,30.177099,30.926201,30.074900,30.794300,30.794300,5238661
2013-05-31,30.726200,30.926201,30.292000,30.709101,30.709101,6131720
2013-06-03,30.441000,31.202900,30.177099,30.564400,30.564400,6063242
2013-06-04,30.866600,31.454000,30.866600,31.262400,31.262400,6669031
2013-06-05,30.904900,31.334801,30.509100,30.509100,30.509100,6203205
2013-06-06,30.470800,30.824100,29.815300,29.815300,29.815300,6581835
2013-06-07,30.066401,31.019800,29.623800,30.934700,30.934700,8047602
2013-06-10,30.926201,31.607201,30.696400,30.870899,30.870899,7594730
2013-06-11,30.756001,31.105000,29.828100,30.253700,30.253700,7263075
2013-06-12,29.989799,30.351601,29.232201,29.283300,29.283300,8880377
2013-06-13,28.747000,29.483299,28.380899,29.381201,29.381201,7607525
2013-06-14,29.751499,29.823799,29.219400,29.440800,29.440800,5607526
2013-06-17,29.581200,29.674900,29.044901,29.338600,29.338600,6376509
2013-06-18,29.342899,29.687599,28.959801,29.645100,29.645100,4709492
2013-06-19,29.636499,29.789801,29.164101,29.287500,29.287500,6773406
2013-06-20,28.593800,28.721399,28.121300,28.210699,28.210699,10604135
2013-06-21,28.202200,28.712900,27.870199,28.261801,28.261801,22557826
2013-06-24,28.091499,28.355400,27.448799,27.665899,27.665899,10216965
2013-06-25,28.036200,28.508600,27.772301,28.014900,28.014900,7005005
2013-06-26,28.095800,28.857599,27.831900,28.678900,28.678900,6879634
2013-06-27,28.793800,28.900200,28.134100,28.210699,28.210699,7033524
2013-06-28,28.376699,28.568199,27.223200,27.372200,27.372200,9327221
2013-07-01,27.623301,27.865900,26.976400,27.572201,27.572201,7453636
2013-07-02,27.521200,27.653099,26.967800,27.167900,27.167900,5893593
2013-07-03,26.814600,26.891199,25.908001,26.776300,26.776300,11181570
2013-07-04,26.980600,27.993601,26.576300,27.559500,27.559500,9219746
2013-07-05,27.665899,27.963800,27.014700,27.044500,27.044500,9005425
2013-07-08,27.219000,27.878700,27.108299,27.431801,27.431801,5604573
2013-07-09,27.665899,28.219200,27.167900,27.644600,27.644600,9656435
2013-07-10,27.921301,28.402201,27.759501,28.172400,28.172400,8480133
2013-07-11,28.602301,28.870399,28.317101,28.415001,28.415001,7337542
2013-07-12,28.610800,28.874701,28.325600,28.491600,28.491600,6911398
2013-07-15,28.517099,28.887400,28.517099,28.806601,28.806601,4533734
2013-07-16,28.844900,28.934299,28.491600,28.534201,28.534201,4353779
2013-07-17,28.525700,28.836399,28.295799,28.644800,28.644800,4725876
2013-07-18,28.598000,29.640800,28.559700,29.462000,29.462000,6748928
2013-07-19,29.317301,29.985600,29.257700,29.879200,29.879200,9439552
2013-07-22,30.023899,30.777201,30.019600,30.287800,30.287800,6392912
2013-07-23,30.517599,30.619699,30.087700,30.138800,30.138800,4902431
2013-07-24,30.177099,30.696400,30.164301,30.692101,30.692101,7045029
2013-07-25,30.649500,30.845301,30.240900,30.666599,30.666599,5786461
2013-07-26,30.853800,31.139000,30.428200,30.760201,30.760201,5115521
2013-07-29,30.824100,30.900700,30.313299,30.564400,30.564400,5452146
2013-07-30,29.811100,30.019600,29.096001,29.368401,29.368401,11957447
2013-07-31,29.142799,29.155600,28.363899,28.861900,28.861900,8115281
2013-08-01,29.108801,29.743000,28.861900,29.594000,29.594000,8852418
2013-08-02,29.794001,29.794001,29.087500,29.368401,29.368401,6430970
2013-08-05,29.398199,29.398199,28.951300,29.142799,29.142799,5135768
2013-08-06,29.074699,29.232201,28.351101,28.525700,28.525700,7531871
2013-08-07,28.304300,28.721399,28.291599,28.517099,28.517099,6789287
